,lr,weight_decay,elasticity,bounding_box_size,num_samples,mean,std
0,1e-07,0.0,0.0,,3200,3600.703857421875,37.95595932006836
1,1e-07,0.0,0.0,0.5,3200,3571.9833984375,89.3441390991211
2,1e-07,0.0,0.0,1.0,3200,4049.1875,72.74613189697266
3,1e-07,0.0,0.1,,3200,3571.528076171875,48.47158432006836
4,1e-07,0.0,0.1,0.5,3200,3320.38232421875,89.87834930419922
5,1e-07,0.0,0.1,1.0,3200,3402.568603515625,92.2071304321289
6,1e-07,0.0,1.0,,3200,3271.871337890625,43.17469787597656
7,1e-07,0.0,1.0,0.5,3200,3677.44384765625,74.89299011230469
8,1e-07,0.0,1.0,1.0,3200,3678.883056640625,95.73905944824219
9,1e-07,0.01,0.0,,3200,3577.13330078125,46.28293991088867
10,1e-07,0.01,0.0,0.5,3200,3176.367431640625,68.37164306640625
11,1e-07,0.01,0.0,1.0,3200,3454.443603515625,85.32218933105469
12,1e-07,0.01,0.1,,3200,3600.9775390625,68.61687469482422
13,1e-07,0.01,0.1,0.5,3200,4126.5751953125,44.3771858215332
14,1e-07,0.01,0.1,1.0,3200,2747.391357421875,76.43597412109375
15,1e-07,0.01,1.0,,3200,3553.23388671875,64.13835144042969
16,1e-07,0.01,1.0,0.5,3200,3290.88427734375,56.65613555908203
17,1e-07,0.01,1.0,1.0,3200,3491.25146484375,99.36344909667969
18,1e-07,0.1,0.0,,3200,3370.04443359375,88.20065307617188
19,1e-07,0.1,0.0,0.5,3200,3514.695556640625,45.80198669433594
20,1e-07,0.1,0.0,1.0,3200,3394.44580078125,69.28852844238281
21,1e-07,0.1,0.1,,3200,3308.477783203125,77.08958435058594
22,1e-07,0.1,0.1,0.5,3200,2882.24169921875,106.24492645263672
23,1e-07,0.1,0.1,1.0,3200,2716.669677734375,75.58531188964844
24,1e-07,0.1,1.0,,3200,3842.07421875,38.98713684082031
25,1e-07,0.1,1.0,0.5,3200,3419.647705078125,44.18684387207031
26,1e-07,0.1,1.0,1.0,3200,3373.180908203125,96.08580017089844
27,1e-05,0.0,0.0,,3200,-1689.6920166015625,663.5309448242188
28,1e-05,0.0,0.0,0.5,3200,-172.4957733154297,802.8214721679688
29,1e-05,0.0,0.0,1.0,3200,1908.98779296875,330.2082824707031
30,1e-05,0.0,0.1,,3200,-272.8270568847656,1151.3223876953125
31,1e-05,0.0,0.1,0.5,3200,127.15457916259766,874.4922485351562
32,1e-05,0.0,0.1,1.0,3200,-188.4262237548828,779.138427734375
33,1e-05,0.0,1.0,,3200,-2699.872314453125,1061.42041015625
34,1e-05,0.0,1.0,0.5,3200,892.0939331054688,749.9024658203125
35,1e-05,0.0,1.0,1.0,3200,-3485.6787109375,820.2913818359375
36,1e-05,0.01,0.0,,3200,4057.1474609375,879.16748046875
37,1e-05,0.01,0.0,0.5,3200,5939.78955078125,1048.323486328125
38,1e-05,0.01,0.0,1.0,3200,1542.32568359375,798.7222290039062
39,1e-05,0.01,0.1,,3200,266.9091491699219,1012.0010986328125
40,1e-05,0.01,0.1,0.5,3200,-873.6846923828125,499.77435302734375
41,1e-05,0.01,0.1,1.0,3200,1190.8284912109375,753.15087890625
42,1e-05,0.01,1.0,,3200,-301.79034423828125,1225.449462890625
43,1e-05,0.01,1.0,0.5,3200,-3182.630615234375,781.4276733398438
44,1e-05,0.01,1.0,1.0,3200,-926.3652954101562,754.07080078125
45,1e-05,0.1,0.0,,3200,520.809326171875,707.5943603515625
46,1e-05,0.1,0.0,0.5,3200,2801.16259765625,892.930419921875
47,1e-05,0.1,0.0,1.0,3200,455.9281311035156,1120.7528076171875
48,1e-05,0.1,0.1,,3200,-11393.4833984375,694.9789428710938
49,1e-05,0.1,0.1,0.5,3200,463.1824951171875,992.9644165039062
50,1e-05,0.1,0.1,1.0,3200,-8588.048828125,931.106689453125
51,1e-05,0.1,1.0,,3200,3043.419189453125,1075.466064453125
52,1e-05,0.1,1.0,0.5,3200,-232.7405548095703,1041.869873046875
53,1e-05,0.1,1.0,1.0,3200,986.71826171875,971.3018188476562
54,0.001,0.0,0.0,,3200,,
55,0.001,0.0,0.0,0.5,3200,13380.634765625,1122.187744140625
56,0.001,0.0,0.0,1.0,3200,7941.2099609375,7793.8603515625
57,0.001,0.0,0.1,,3200,,
58,0.001,0.0,0.1,0.5,3200,15463.9638671875,3434.68798828125
59,0.001,0.0,0.1,1.0,3200,-39353.890625,22633.767578125
60,0.001,0.0,1.0,,3200,1.7912004949829065e+21,inf
61,0.001,0.0,1.0,0.5,3200,-11677.8916015625,3675.220703125
62,0.001,0.0,1.0,1.0,3200,-9788.044921875,16574.962890625
63,0.001,0.01,0.0,,3200,3.729631402346414e+17,9.867266799362376e+17
64,0.001,0.01,0.0,0.5,3200,-24255.18359375,2526.507568359375
65,0.001,0.01,0.0,1.0,3200,17608.02734375,6307.94580078125
66,0.001,0.01,0.1,,3200,,
67,0.001,0.01,0.1,0.5,3200,9979.744140625,5562.58642578125
68,0.001,0.01,0.1,1.0,3200,-51368.9921875,2800.0673828125
69,0.001,0.01,1.0,,3200,,
70,0.001,0.01,1.0,0.5,3200,-79262.9140625,9995.017578125
71,0.001,0.01,1.0,1.0,3200,-125931.8359375,17304.185546875
72,0.001,0.1,0.0,,3200,,
73,0.001,0.1,0.0,0.5,3200,9850.59375,1054.3226318359375
74,0.001,0.1,0.0,1.0,3200,26295.1796875,16977.75390625
75,0.001,0.1,0.1,,3200,-3.310270666715955e+16,2.6017887529467904e+16
76,0.001,0.1,0.1,0.5,3200,-7417.26611328125,816.1461181640625
77,0.001,0.1,0.1,1.0,3200,-26025.666015625,4540.15185546875
78,0.001,0.1,1.0,,3200,1.1339938242515436e+18,2.3942638101740913e+18
79,0.001,0.1,1.0,0.5,3200,-7942.1337890625,598.5824584960938
80,0.001,0.1,1.0,1.0,3200,-17945.607421875,18571.435546875
81,0.1,0.0,0.0,,3200,,
82,0.1,0.0,0.0,0.5,3200,37842.83203125,9995.3701171875
83,0.1,0.0,0.0,1.0,3200,7236.1162109375,30045.09375
84,0.1,0.0,0.1,,3200,,
85,0.1,0.0,0.1,0.5,3200,156744.28125,6991.92041015625
86,0.1,0.0,0.1,1.0,3200,262507.65625,53110.49609375
87,0.1,0.0,1.0,,3200,,
88,0.1,0.0,1.0,0.5,3200,-38128.8515625,8940.4375
89,0.1,0.0,1.0,1.0,3200,-56034.3515625,43016.1875
90,0.1,0.01,0.0,,3200,,
91,0.1,0.01,0.0,0.5,3200,5658.66455078125,12264.3359375
92,0.1,0.01,0.0,1.0,3200,-396607.8125,19031.76953125
93,0.1,0.01,0.1,,3200,,
94,0.1,0.01,0.1,0.5,3200,158724.546875,13924.2919921875
95,0.1,0.01,0.1,1.0,3200,962019.75,33897.046875
96,0.1,0.01,1.0,,3200,,
97,0.1,0.01,1.0,0.5,3200,5646.681640625,8054.20703125
98,0.1,0.01,1.0,1.0,3200,307104.15625,45462.15625
99,0.1,0.1,0.0,,3200,,
100,0.1,0.1,0.0,0.5,3200,28227.48046875,6473.47607421875
101,0.1,0.1,0.0,1.0,3200,302685.125,38407.65234375
102,0.1,0.1,0.1,,3200,,
103,0.1,0.1,0.1,0.5,3200,-84225.3359375,7531.21630859375
104,0.1,0.1,0.1,1.0,3200,-8668.7568359375,33559.04296875
105,0.1,0.1,1.0,,3200,,
106,0.1,0.1,1.0,0.5,3200,-41746.921875,13545.0986328125
107,0.1,0.1,1.0,1.0,3200,168488.1875,49231.46875
